City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
314,bossangoa,6.4926,17.4552,22.61,87,92,1.58,Bossangoa,1684893872
315,omsukchan,62.5333,155.8,3.8,62,100,5.16,Omsukchan,1684893872
316,lorengau,-2.0226,147.2712,25.4,91,100,4.66,Lorengau,1684893872
317,plettenberg bay,-34.0527,23.3716,14.11,64,75,0.99,Plettenberg Bay,1684893872
318,luderitz,-26.6481,15.1594,14.26,63,10,2.16,Lüderitz,1684893873
319,debre sina,9.85,39.7667,13.35,75,94,0.92,Debre Sīna,1684893873
320,ilo,-17.6394,-71.3375,18.63,82,0,3.43,Ilo,1684893873
321,paamiut,61.994,-49.6678,-0.78,75,100,8.35,Paamiut,1684893873
322,flinders,-34.5833,150.8552,19.54,47,8,1.34,Flinders,1684893873
323,ghansor,22.65,79.95,33.52,21,60,4.78,Ghansor,1684893874
324,tasiilaq,65.6145,-37.6368,0.09,38,73,11.81,Tasiilaq,1684893874
325,mao,39.8885,4.2658,16.31,100,0,3.09,Mahon,1684893874
326,tuatapere,-46.1333,167.6833,9.91,74,68,3.06,Tuatapere,1684893874
327,gualaquiza,-3.4,-78.55,16.85,98,100,0.79,Gualaquiza,1684893875
328,paris,48.8534,2.3488,10.28,79,0,4.12,Paris,1684893608
329,norman wells,65.282,-126.8329,13.02,58,100,7.2,Norman Wells,1684893875
330,lincoln,40.8,-96.667,24.37,48,2,0.45,Lincoln,1684893207
331,villanueva de la serena,38.9766,-5.7974,12.42,83,9,1.77,Villanueva de la Serena,1684893881
332,touros,-5.1989,-35.4608,26.19,81,41,5.22,Touros,1684893864
